ID,X,Y,ATTRIBUTE,WEIGHT,PREDICTION
52.0,-99.73732,29.587713,1.0,1.0,0.0
53.0,-99.73153,29.562521,1.0,1.0,0.0
54.0,-99.712105,29.495043,1.0,1.0,0.0
55.0,-99.71104,29.4956,1.0,1.0,0.0
56.0,-99.69646,29.516834,1.0,1.0,0.0
57.0,-99.677376,29.846558,1.0,1.0,0.0
58.0,-99.67183,29.829699,1.0,1.0,0.0
59.0,-99.67039,29.829903,1.0,1.0,0.0
60.0,-99.66664,29.838932,1.0,1.0,0.0
61.0,-99.66372,29.83558,1.0,1.0,0.0
62.0,-99.66232,29.833347,1.0,1.0,0.0
63.0,-99.655655,29.842989,1.0,1.0,0.0
64.0,-99.64849,29.757442,1.0,1.0,0.0
65.0,-99.6151,29.73457,1.0,1.0,0.0
66.0,-99.58832,29.78941,1.0,1.0,0.0
67.0,-99.58793,29.820465,1.0,1.0,0.0
68.0,-99.583176,29.822475,1.0,1.0,0.0
69.0,-99.5831,29.822405,1.0,1.0,0.0
70.0,-99.57735,29.823536,1.0,1.0,0.0
71.0,-99.5769,29.816555,1.0,1.0,0.0
72.0,-99.57628,29.823637,1.0,1.0,0.0
73.0,-99.57626,29.81551,1.0,1.0,0.0
74.0,-99.576256,29.815508,1.0,1.0,0.0
75.0,-99.573456,29.810059,1.0,1.0,0.0
76.0,-99.57283,29.813395,1.0,1.0,0.0
77.0,-99.572136,29.816668,1.0,1.0,0.0
78.0,-99.57061,29.807625,1.0,1.0,0.0
79.0,-99.55261,29.773914,1.0,1.0,0.0
80.0,-99.521614,29.66983,1.0,1.0,0.0
81.0,-99.52024,29.584846,1.0,1.0,0.0
82.0,-99.505516,30.063381,1.0,1.0,0.0
83.0,-99.50347,30.076967,1.0,1.0,0.0
84.0,-99.49441,27.499435,1.0,1.0,0.0
85.0,-99.47138,27.600138,1.0,1.0,0.0
86.0,-99.461975,29.742023,1.0,1.0,0.0
87.0,-99.44824,29.78345,1.0,1.0,0.0
88.0,-99.445404,30.06207,1.0,1.0,0.0
89.0,-99.43318,30.068914,1.0,1.0,0.0
90.0,-99.422005,29.802057,1.0,1.0,0.0
91.0,-99.419815,30.089237,1.0,1.0,0.0
92.0,-99.41052,29.774448,1.0,1.0,0.0
93.0,-99.38507,29.779873,1.0,1.0,0.0
94.0,-99.36978,30.010103,1.0,1.0,0.0
95.0,-99.355484,29.692348,1.0,1.0,0.0
96.0,-99.350655,30.156347,1.0,1.0,0.0
97.0,-99.34078,30.061813,1.0,1.0,0.0
98.0,-99.33057,30.567383,1.0,1.0,0.0
99.0,-99.30679,29.792984,1.0,1.0,0.0
100.0,-99.281654,29.818378,1.0,1.0,0.0
101.0,-99.27276,30.071564,1.0,1.0,0.0
102.0,-99.27159,30.0754,1.0,1.0,0.0
103.0,-99.27035,30.07257,1.0,1.0,0.0
104.0,-99.26816,30.072,1.0,1.0,0.0
105.0,-99.225296,30.737152,1.0,1.0,0.0
106.0,-99.220665,30.821344,1.0,1.0,0.0
107.0,-99.22062,29.742916,1.0,1.0,0.0
108.0,-99.20835,30.738184,1.0,1.0,0.0
109.0,-99.20654,29.748878,1.0,1.0,0.0
110.0,-99.18191,29.627768,1.0,1.0,0.0
111.0,-99.164536,23.74549,1.0,1.0,0.0
112.0,-99.16148,29.369518,1.0,1.0,0.0
113.0,-99.149475,23.031368,1.0,1.0,0.0
114.0,-99.14879,30.050058,1.0,1.0,0.0
115.0,-99.1475,22.987791,1.0,1.0,0.0
116.0,-99.1431,30.0445,1.0,1.0,0.0
117.0,-99.120026,29.68328,1.0,1.0,0.0
118.0,-99.11864,29.842367,1.0,1.0,0.0
119.0,-99.1162,26.514858,1.0,1.0,0.0
120.0,-99.11501,30.009216,1.0,1.0,0.0
121.0,-99.09531,29.7906,1.0,1.0,0.0
122.0,-99.079666,29.7309,1.0,1.0,0.0
123.0,-99.0767,30.02857,1.0,1.0,0.0
124.0,-99.072044,29.723358,1.0,1.0,0.0
125.0,-99.060936,29.940952,1.0,1.0,0.0
126.0,-99.0568,29.943491,1.0,1.0,0.0
127.0,-99.02361,29.964445,1.0,1.0,0.0
128.0,-99.019966,29.693241,1.0,1.0,0.0
129.0,-98.986786,30.0819,1.0,1.0,0.0
130.0,-98.93506,29.532112,1.0,1.0,0.0
