ID,X,Y,ATTRIBUTE,WEIGHT,PREDICTION
56886.0,-76.38535,43.52131,1.0,1.0,0.0
56887.0,-76.384705,43.522316,1.0,1.0,0.0
56888.0,-76.16279,36.775066,1.0,1.0,0.0
56889.0,-76.00909,5.798753,1.0,1.0,0.0
56890.0,-75.81832,4.8434405,1.0,1.0,0.0
56891.0,-75.6891,4.7936487,1.0,1.0,0.0
56892.0,-75.66473,4.828024,1.0,1.0,0.0
56893.0,-75.63325,4.7125273,1.0,1.0,0.0
56894.0,-75.58876,6.160151,1.0,1.0,0.0
56895.0,-75.58298,6.2649894,1.0,1.0,0.0
56896.0,-75.58247,6.264124,1.0,1.0,0.0
56897.0,-75.57956,4.729658,1.0,1.0,0.0
56898.0,-75.56404,6.3393903,1.0,1.0,0.0
56899.0,-75.563194,6.327607,1.0,1.0,0.0
56900.0,-75.56236,6.326341,1.0,1.0,0.0
56901.0,-75.45338,39.961163,1.0,1.0,0.0
56902.0,-75.44805,39.961666,1.0,1.0,0.0
56903.0,-75.44707,10.55431,1.0,1.0,0.0
56904.0,-75.306175,38.850636,1.0,1.0,0.0
56906.0,-75.14059,6.992325,1.0,1.0,0.0
56907.0,-75.09739,39.305504,1.0,1.0,0.0
56908.0,-74.99099,39.82958,1.0,1.0,0.0
56910.0,-74.94407,40.328556,1.0,1.0,0.0
56911.0,-74.52138,40.703087,1.0,1.0,0.0
56912.0,-74.48868,40.713028,1.0,1.0,0.0
56913.0,-74.46494,4.765705,1.0,1.0,0.0
56914.0,-74.26191,6.051007,1.0,1.0,0.0
56915.0,-74.11434,4.666055,1.0,1.0,0.0
56916.0,-74.05924,11.104478,1.0,1.0,0.0
56917.0,-74.05582,4.6741714,1.0,1.0,0.0
56918.0,-73.3922,41.776104,1.0,1.0,0.0
56919.0,-73.1123,7.0814285,1.0,1.0,0.0
56920.0,-72.70397,2.5106392,1.0,1.0,0.0
56921.0,-72.12852,41.822845,1.0,1.0,0.0
56922.0,-71.074554,41.749565,1.0,1.0,0.0
